matterport,source.type,year_built,baths_3qtr,Sold_Price,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,lead_attributes.show_contact_an_agent,is_foreclosure,is_new_listing,products.brand_name,state,coordinate.lon,coordinate.lat,city,state_code,basement,big_lot,big_yard,carport,central_air,central_heat,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,cul_de_sac,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,park,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,updated_kitchen,view,views,washer_dryer,same
0,1,0.2790697674418604,0,162000.0,0,-0.2899201596806387,-0.1053864168618267,2,2,0,1,3,10,True,False,0,4,0,-0.0712891611918811,-1.2869299514423491,54,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,True
0,1,-0.5116279069767442,0,111200.0,0,0.0723552894211576,-0.5281030444964872,2,2,0,1,3,10,True,False,0,4,0,-0.0748416702159348,-1.283830281248097,54,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,True
0,1,-0.5581395348837209,0,63000.0,0,-0.072521623419827,-0.3969555035128805,1,2,1,1,3,10,True,False,0,3,0,-0.0747460273001025,-1.2828010815781132,54,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,True
0,1,-0.1860465116279069,0,106000.0,0,1.4491017964071855,0.8430913348946136,2,2,0,1,4,10,True,False,0,3,0,-0.0742782428112876,-1.2900871784428936,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True
0,1,0.6744186046511628,0,245000.0,0,-0.2173985362608117,0.1323185011709602,2,2,2,1,3,10,True,False,0,4,0,-0.0693942770600586,-1.2820426963036975,54,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True
0,1,0.3953488372093023,0,310000.0,0,2.463406520292748,1.765807962529274,3,2,0,1,4,10,True,False,0,4,0,-0.0683897986020437,-1.287573223104176,54,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True
0,1,-0.5116279069767442,0,100000.0,0,1.304224883566201,-0.1850117096018735,1,2,0,1,3,10,True,False,0,4,0,-0.0735668195130584,-1.282350424030963,54,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,-0.0232558139534883,0,95900.0,1,0.4695608782435129,-0.5023419203747073,2,2,0,1,3,10,True,False,0,3,0,-0.0708562111795576,-1.2800485016686225,54,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True
0,1,-0.7441860465116279,0,375000.0,1,3.6951097804391217,3.34192037470726,4,2,2,2,4,10,True,False,0,4,0,-0.0751233839182588,-1.288739229529546,54,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,True
1,1,0.7441860465116279,0,320000.0,0,0.2897538256819694,1.005854800936768,2,2,2,1,3,10,True,False,0,4,0,-0.0690890703387058,-1.282896776329002,54,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,True
